V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-0.758734582,0.584806647,1.756746235,-0.017299046,1.907834153,-1.148431118,1.031234881,0.138755766,-0.582386865,0.397775405
-0.049401364,0.729858308,-1.34583499,1.755550656,2.225698099,2.434749797,0.197018263,2.444290829,0.576168726,0.132274807
-0.416163434,-0.33676626,-1.298392651,-0.885710801,-0.70325268,-2.610344781,-0.883592575,0.213677593,0.94702811,-0.536388412
0.760802951,-1.310552579,0.8685251,-0.637857713,-2.56660209,-0.931237396,0.477627539,0.543420888,0.583940903,-2.222586883
-0.002067928,1.089363481,1.472549528,-2.187316937,-0.749307496,0.80246278,-0.766701967,-1.55340641,0.16610786,0.522210641
-0.672018102,1.84523538,-0.367046063,1.450154547,-0.154211291,0.791652166,-1.721701966,-1.715680848,-1.15057008,0.578659935
-0.106000165,1.344843888,-0.618671518,-1.737023236,1.887495545,0.792097198,0.477240232,0.316375012,0.365758886,-0.034610223
-1.012845067,0.196127576,-0.377907065,-0.060794743,-0.500656599,0.348234111,-0.379482087,-0.20741865,-2.916193596,0.111711141
1.241767458,-0.593675921,0.164146786,-0.754807543,0.684957713,-0.089076304,-1.136533797,-0.610786035,-1.39817929,1.874321858
-0.091265622,0.162323619,0.285723714,-0.022622371,0.487623833,1.494450005,-0.454196591,-0.811581584,-0.70535029,0.159254288
0.602879602,-0.222092482,-1.357594221,-2.652889979,0.814817565,-2.16266397,0.644640788,-0.203129123,-2.428642032,2.26126899
-1.002690685,-1.229282553,1.004482799,0.712136577,-0.641243234,-1.43943814,-0.382650179,-0.561590539,-1.949247382,-0.696062531
0.293785572,0.382913302,-0.348964774,-2.014861111,1.285319892,0.640732954,1.685914512,1.119190524,-2.203484289,-1.300371675
-1.872248984,0.07906935,-0.912550743,0.936517108,-0.083022031,-0.345021125,0.743881052,-1.198712677,-0.965551397,-0.272576339
0.488497721,-0.599363065,1.122119263,0.81729778,1.395115753,2.131195215,-0.756799452,-0.985512444,-0.664959982,0.387470023
-0.670525251,-0.030529722,-1.126363024,-0.033496928,-0.638317016,-0.640238657,1.542142587,0.50921795,-1.889970208,-0.164990336
-0.14588176,-0.643218769,-0.969228225,0.489445486,0.066778631,1.104004297,0.666208396,2.112666581,-1.314898842,1.553471951
-0.150418325,-1.441965383,0.323976235,-1.658847147,-0.689281549,0.510332163,-0.693117012,-0.645550887,-0.319189566,-0.213917979
0.073833288,1.310089079,-0.647818725,-0.629682297,0.561410075,0.870007972,1.090076569,-0.861832945,0.093462434,-0.244530785
-0.411728709,0.145142662,0.636830614,0.297699128,-1.025365262,-0.535226909,2.882687803,0.823530779,-0.422336442,0.403147839
-0.603162187,0.254252085,-0.505287572,0.055238963,0.372314575,-0.485186376,-0.282113897,0.2684967,-0.74662533,0.159643898
-0.655224812,0.008632333,-0.038366489,1.479061225,0.343948249,1.187606683,-0.712090927,-0.241049209,-0.676301335,-0.062832894
1.847959529,-0.028410135,0.45714809,-1.617125513,0.092069104,0.576862819,-0.395181468,-0.252537215,-0.007865953,-0.452522478
-0.885699938,-0.832529529,3.027756805,-1.522801799,-1.110357905,-0.079845153,-0.704794555,1.28665287,-0.31452967,-1.821081252
-1.350756458,-0.631017118,0.000707248,0.685932981,-0.310255822,0.423873453,-1.091168374,-1.134204349,-0.806970638,0.423000782
0.160207781,-0.575831207,-0.107717672,0.009616087,0.429917557,-0.774346864,-0.770088564,-0.216519754,0.691797749,0.006930323
0.904377336,-0.036278964,-0.825674573,-0.383427952,0.383859949,1.045355825,1.587663124,-0.003744152,0.647009707,1.395353716
-1.405211024,-0.021072184,1.001020993,1.476719932,-0.060278478,-0.537303822,-0.901058045,1.816022765,-0.540066889,-0.30344192
-2.059822534,-1.524415165,-0.33763922,-0.379168636,0.964534032,0.428621292,1.544307062,0.709807061,0.367688143,-0.506783661
0.293138403,-0.397761788,0.720343328,1.96102864,-0.559648568,1.052924015,0.060027899,-0.685475039,-0.309494455,1.044550042
0.337438349,-0.000894953,-1.055730748,-0.327468326,-1.712790189,0.994951559,1.305521966,-0.201561524,0.405270246,2.002380388
-1.538970644,-1.091624218,0.751714731,1.242329998,-0.990477662,-0.438662826,-0.461634306,-1.934718646,-0.983882648,-0.25117034
0.05249226,-0.340412774,-1.031006392,0.744486542,1.409704628,1.59327357,0.50851938,0.286656672,-0.274847513,-0.211251425
2.788602336,-1.198577259,1.075818946,0.065770042,-0.455037988,-1.196372256,-1.570885785,0.439676168,1.023863527,-0.750627475
-0.677017191,-0.701406125,1.134155815,0.276291743,0.859973351,1.551986172,0.493388353,-0.602214005,-0.261317911,-0.121980169
0.9305916,-0.547377429,-0.367267402,0.347468296,0.327045438,0.095161173,0.169252943,0.47334613,-0.309724384,-0.30868748
-0.164072581,-2.903917085,-0.84121563,0.587960428,-1.642352739,-0.71053001,1.230410515,-0.298501148,-0.497266404,1.523162936
-0.999576339,0.457024302,0.270161128,0.21089629,0.5015859,-0.254887521,1.096793791,-1.238271882,-0.740449307,0.078557957
-1.550852246,-0.854888544,-0.591381962,0.743724129,0.006496784,0.098214998,-0.145089773,0.469503484,1.032416904,-2.073477241
-0.312389899,0.533766552,0.307651987,-0.584842809,-2.056445837,-1.584346681,-0.680972436,0.463050703,-1.517288415,-0.828467933
1.240535708,-0.719352802,-0.835098182,-0.861709441,0.931127054,-0.968847563,2.221529533,-0.907425057,-0.532720663,0.483067927
-1.665385165,-0.113835181,-1.321668757,-0.974062148,0.959126101,-1.372290677,-0.099431842,-1.298707618,-0.639349848,-0.443774279
2.284581134,1.101722203,-0.929770649,1.13759245,0.524205868,1.659144319,1.731052365,0.471657254,1.127243375,0.287184893
1.377674978,0.031360118,0.74321876,0.844676538,0.624744188,-1.277098618,3.458481101,0.374493526,-0.165410987,0.886812315
0.570420767,3.140908647,-0.972716987,1.451324112,0.173106206,-0.696357216,0.994000337,2.395465822,-0.287523328,-1.010279752
1.21069183,-1.305539921,-2.111716055,-2.583485894,1.509709449,-0.604375222,1.038023642,-0.383805781,1.24710318,-0.588460402
-1.40234086,0.569571037,-1.746107773,0.443453335,0.831163852,-0.431377369,-0.122352531,1.577250754,0.276626985,-0.945536683
-1.367080585,-0.421381831,-1.798069761,-1.383766281,0.788522952,0.573373157,-0.194813203,0.265418459,-0.006466685,-0.80079799
-0.0498338,1.121282378,0.057559251,-0.039431128,0.882648268,-0.689102506,1.178139951,0.592081496,-0.666011614,1.123229542
0.459137484,-1.544649185,-0.1991404,-0.394484531,-1.624869963,0.742893314,0.357608877,-0.376984554,0.235865333,0.8299718
-1.63485118,-0.313590959,0.447816367,-0.54910874,-0.119167602,0.903638825,0.823456011,-0.976542635,-0.156816168,0.62585462
-0.613264463,0.224746721,-1.19077931,2.284081204,-0.01064991,0.999559476,-0.511062633,-0.049094266,0.473911326,0.666503746
1.569165203,1.248869992,0.38880799,-0.780608931,-1.94369897,0.726753902,-0.937849308,-0.534198041,0.811655741,-0.515746255
1.23107406,-0.820277138,0.126312805,1.129089245,-0.577574273,1.631540101,-1.072833445,-0.603305911,0.929971617,0.162878874
1.017299215,0.323165699,1.210827305,0.053302112,0.627756838,0.816489594,-1.029162675,-0.205671607,-0.583468927,1.22879366
1.095498929,-2.038356805,-0.475775691,0.249978404,-0.464010403,-1.322207695,0.57306382,-1.233848945,0.545731469,-0.388531294
